lang,arm,question,variable,code,option_id,label,description
es,,final_status,final_status,complete,,complete,Reached the end of the questionnaire
es,,final_status,final_status,declined,,declined,"Refused at consent - a valid answer, not attrition"
es,,final_status,final_status,incomplete,,incomplete,"Reached, did not finish: broke off, opted out, or never replied"
es,,final_status,final_status,failed,,failed,"System-side failure - undeliverable, or encryption failed"
es,2,ARM2_P1,ARM2_P1_code,1,p1_sun,Domingo,Día 1
es,2,ARM2_P1,ARM2_P1_code,2,p1_mon,Lunes,Día 2
es,2,ARM2_P1,ARM2_P1_code,3,p1_tue,Martes,Día 3
es,2,ARM2_P1,ARM2_P1_code,4,p1_wed,Miércoles,Día 4
es,2,ARM2_P1,ARM2_P1_code,5,p1_thu,Jueves,Día 5
es,2,ARM2_P1,ARM2_P1_code,6,p1_fri,Viernes,Día 6
es,2,ARM2_P2,ARM2_P2_code,1,p2_yes,Sí,Sí tomé postre
es,2,ARM2_P2,ARM2_P2_code,2,p2_no,No,Hoy no tomé postre
es,2,ARM2_P3,ARM2_P3_value,,,Number in 0-10,"Validated number, 0-10. Blank means refused or unanswered - read the status column"
es,2,ARM2_P4,ARM2_P4_code,1,p4_python,Python,"pandas, scripts, cuadernos"
es,2,ARM2_P4,ARM2_P4_code,2,p4_stata,Stata,archivos do y datos .dta
es,2,ARM2_P4,ARM2_P4_code,3,p4_r,R,tidyverse y RStudio
es,2,ARM2_P4,ARM2_P4_code,4,p4_surveycto,SurveyCTO,Diseño de formularios y recolección
es,2,ARM2_P4,ARM2_P4_code,5,p4_twilio,Twilio,Flujos de Studio y WhatsApp
es,2,ARM2_P4,ARM2_P4_code,6,p4_exotel,Exotel,Encuestas de voz e IVR
es,2,ARM2_P4,ARM2_P4_code,7,p4_office,Microsoft Office,"Excel, Word y PowerPoint"
es,2,ARM2_P5,ARM2_P5_code,1,p5_loved,Me encantó,🤩 Lo mejor de la semana
es,2,ARM2_P5,ARM2_P5_code,2,p5_liked,Me gustó,"🙂 Bien, la repetiría"
es,2,ARM2_P5,ARM2_P5_code,3,p5_fine,Estuvo bien,😐 Sin opinión fuerte
es,2,ARM2_P5,ARM2_P5_code,4,p5_meh,No mucho,🙁 Algo tediosa
es,2,ARM2_P5,ARM2_P5_code,5,p5_disliked,No me gustó,😞 Preferiría no hacerla
es,2,ARM2_P6,ARM2_P6_code,1,p6_fri_1800,Vie 18:00,Viernes 28 de agosto
es,2,ARM2_P6,ARM2_P6_code,2,p6_fri_2115,Vie 21:15,Viernes 28 de agosto
es,2,ARM2_P6,ARM2_P6_code,3,p6_sat_0620,Sáb 06:20,Sábado 29 de agosto
es,2,ARM2_P6,ARM2_P6_code,4,p6_sat_0945,Sáb 09:45,Sábado 29 de agosto
es,2,ARM2_P6,ARM2_P6_code,5,p6_sat_1430,Sáb 14:30,Sábado 29 de agosto
es,2,ARM2_P6,ARM2_P6_code,6,p6_sat_2050,Sáb 20:50,Sábado 29 de agosto
es,2,ARM2_P6,ARM2_P6_code,7,p6_sun_0705,Dom 07:05,Domingo 30 de agosto
es,2,ARM2_P6,ARM2_P6_code,8,p6_sun_1120,Dom 11:20,Domingo 30 de agosto
es,2,ARM2_P6,ARM2_P6_code,9,p6_sun_1915,Dom 19:15,Domingo 30 de agosto
es,2,ARM2_P6,ARM2_P6_code,10,p6_staying,Me quedo,Salgo después del domingo
